"","LMiller_00458.Swab","LMiller_00459.Swab","LMiller_00461.Swab","LMiller_00462.Swab","LMiller_00466.Swab","LMiller_00467.Swab","LMiller_00468.Swab","LMiller_00469.Swab","LMiller_00473.Swab","LMiller_00476.Swab","LMiller_00477.Swab","LMiller_00481.Swab"
"58bd2caa4af7ca54235a416d7ae32c8e",41,33,183,31,359,305,181,16,39,85,0,0
"55cc2b7edaba30b1e9c7450b82f0cb2b",106,0,0,36,0,841,0,0,0,97,0,48
"47aa48ec8ec154954dd2d49434737268",0,0,0,0,0,199,307,0,0,0,0,0
"5c5b789d178e6f22d65adaeb35a995fc",46,36,98,0,192,0,364,0,70,0,519,0
"a6fc343dd640208ff0816cdabec0426c",69,0,0,0,0,0,0,0,0,0,0,0
"822042c1e061b6de469404b6cac56aa9",0,62,0,0,211,0,137,0,0,0,0,23
"eb7bbc66c14e2e7e264e734b0f0c01b3",0,0,0,0,0,0,0,0,38,0,0,0
"3eac8b038216422f95f2431ce4b2cf4e",0,0,0,0,0,0,0,0,0,0,0,0
"6e1ee71cbf408dd92106150b93a0bfe1",21,0,491,10,210,23,0,155,0,0,55,212
"06693622f18b0d17a3a760c463f71e05",0,0,0,0,0,0,10,0,0,0,0,0
"c481f7cddfafbe8f143fea53336bea23",0,0,0,0,0,0,23,0,0,0,0,0
"52cdd4c3305b200497e8f8061fecb13c",0,0,0,0,0,0,0,0,0,0,0,0
"efe7cc345dac4c2359dcfda96d96376d",0,0,0,0,0,0,67,0,0,0,0,0
"3918f2dc36192512a91b0ee0953b9387",0,0,0,0,0,0,0,0,0,0,0,0
"e1338f53b51df73c057dd911212902fe",0,0,0,0,0,0,0,0,0,0,0,0
"4d4571162fbae9d6ce602994a5dd2a9a",0,0,0,0,0,0,18,0,0,0,0,93
"0cf6f47d179f04197b3594b915bb3b73",0,0,0,0,0,0,0,0,0,0,17,0
"26d3b95fe6bb4427f481226f783047a4",0,0,0,0,0,0,0,0,22,0,0,0
"ad6bc73d0dfe1b0bc3b7ca77e6f0a8dc",23,64,265,0,0,903,29,33,0,0,0,60
"46b8f9281865478261657da375e28424",0,0,0,0,0,4,0,0,0,0,0,0
"a375ce81db65e848c1f762344851193f",0,31,206,22,106,286,42,309,103,0,13,7
"6b15cd3552e3f49e35f1d88fc3fc76eb",0,0,0,0,0,0,0,0,0,12,0,0
"b4d3722f3030aea9885a8a6fa72bdf01",0,0,0,0,0,26,0,0,0,0,0,0
"56bec34febe4f9b1d5f58b4abe054b90",0,0,0,0,0,0,0,0,0,0,0,114
"a556ae43f7add6af6faadb29fbbf1834",0,0,0,0,0,0,35,0,0,0,0,0
"b0318249edbcc891c3774b7299ac3afd",0,0,0,0,0,0,0,0,0,0,0,0
"95f1b19195f23a58a9ecc445253a8a1c",673,0,482,79,8,33,1750,11,60,11,1140,342
"b0039e7430d2b8d443e507933f3075d7",345,0,0,45,49,12,72,0,0,0,0,0
"0bb321a78fb1ebda6f414b285bc9ff42",0,0,0,0,39,0,0,0,0,0,0,0
"384f663844f0b134b3d4b8aed83dfac0",0,0,0,0,0,0,0,0,0,0,0,3
"463448be7fe6ae1e5a096e746e6974c5",0,0,0,0,0,0,0,0,0,0,0,0
"4972757722cb02031094addcf082bb27",0,0,0,0,0,0,0,0,0,0,0,0
"32baf769cef5dfd68415214f4901ad8e",0,0,0,0,0,0,0,0,0,0,0,0
"46edd9a681a1c394007859666f76d477",0,0,0,0,0,0,0,0,0,0,0,0
"70869d0feda2b000386a1851bdfcaffe",0,0,0,0,0,0,0,0,0,0,0,0
"be74cad9381c15cfaa8e6071aa77e7f4",0,0,0,0,0,0,0,0,0,0,0,0
"6f7d59283d979b17a9834ab4c26d0076",0,0,0,0,0,0,0,0,0,0,0,0
"912f795ef3617aeb65ff9ad69b9567a8",0,0,0,0,0,0,0,0,0,0,0,0
"be97c9932a0a5035cac26dac49a66eb2",0,0,0,0,0,0,0,0,0,0,0,0
"970a0f4184a8820116f827e881f75110",0,0,0,0,0,0,0,0,0,0,0,0
"60f05f9e5d7e74d85a0f74164adcbd07",0,0,0,0,0,0,0,0,0,0,0,0
"77a1e8bc25be2a0afd352762ed9497ce",0,0,0,0,0,0,0,0,0,0,0,0
"b4289ab0a9a00034c1fbce477b2c4ded",0,0,0,0,0,0,0,0,0,0,0,0
"86d6db0b6e15510fa5d27ceae8fd5e0d",0,0,0,0,0,0,0,0,0,0,0,0
"6376ea6dab7d0fde3cd66f53b57e1484",0,0,0,0,0,0,0,0,0,0,0,0
"637b9b3f4d1cbb1a10c07817619cdf69",0,0,0,0,0,0,0,0,0,0,0,0
"1e766995d5d899c5028f77afef6bff77",0,0,0,0,0,0,0,0,0,0,0,0
"3d59754994ad442a8c7e69589d74a6ce",60,5064,0,1383,463,14544,3773,1424,3027,16,1383,41
"96536c137cc245cdb18aa943e30eba06",0,0,0,0,0,0,0,0,0,0,0,0
"85f7a5b552a1d4564bbfb316eafdf2bf",0,0,0,0,0,0,0,0,0,0,0,0
"a6be27329e6caf441973dafe2b0c303d",0,0,0,0,0,0,0,0,0,0,0,0
"19242d6e262c55c76fdde74fbd05d9ad",0,0,0,0,0,0,0,0,0,0,0,0
"7b881ac7680c0ccc0253deb22f230e1e",4261,1492,1744,657,1361,245,332,211,350,1151,537,513
"d998dd3fa19c17b739083a1ba1553dd1",0,0,0,0,0,0,0,0,0,0,0,0
"1719b5b8f753472e4f4d58ec01a1693c",0,620,828,597,245,0,5622,423,4279,3458,0,3327
"53e8f34b14b34a85e09d2cad651f71ae",1967,5893,413,0,1213,9426,2702,1448,2169,1022,2023,0
"08eea0c16a6996628e45a8f5ad6dbd75",3519,906,291,1142,886,292,1705,336,403,805,1224,789
"f057bbc717309187476ebe2dfaaf896e",0,0,0,0,0,0,0,0,0,0,0,0
"e56768537f475580b0a6214d82fbbd2c",0,0,0,0,0,0,0,0,0,0,0,0
"3778c8917a8a5499a2491f640765259b",0,0,0,0,0,0,0,0,0,0,261,0
"a7c6d28b5e1b2324721f2dff0e1e8fb5",51,0,138,0,0,32,103,30,0,393,0,164
"e78ecb138a8bee2a728274b849db12c1",0,0,0,0,230,0,0,0,0,0,0,43
"6009d6fc8b150038745fe8ccf3cf5ef0",72,23,0,96,109,0,139,49,0,0,0,24
"5a1f8ea54d04e18a7c14a5d2306a842f",0,0,44,0,484,81,0,0,0,0,66,0
"4bc29222703188e33f91bbc7f5e197cf",0,0,0,0,72,0,0,0,0,74,0,0
"d1330b8de9059f713830c82d88f3cc1b",0,0,0,0,0,0,0,0,0,2,0,0
"1c6676f6f82c2c187e35a381043cd8a8",0,0,0,0,0,0,0,0,0,2,0,0
"2e0b0e451c05867a0b6f53cc2647c3de",6,0,0,0,0,0,0,0,0,0,0,0
"b444c203840973d0159068701564fceb",0,0,0,0,0,0,0,0,0,0,0,0
"acff851a5437a518fdb83cffd7b43dae",0,0,0,0,0,0,0,0,0,11370,0,15425
"0891a144fc69f813d70a273cb534b6b0",0,0,0,0,0,0,0,0,0,0,0,0
"ebb890eaad754182c5a491a7d6c3fb8b",0,0,0,0,0,0,0,0,0,0,0,0
"09ea62c69c07eb44d971e83b2ce87219",0,0,0,0,0,0,0,0,0,0,0,0
"59f7d8a7f37d6eeec95eb556f33da267",15838,13924,5848,7715,8221,4468,4436,9152,7138,24648,5871,16133
"c1b603f83feeccc82b783143e3a970f9",0,0,298,0,0,0,0,307,0,0,0,0
"5249851d64d7ae50c21aee46d07f7b08",0,0,0,0,0,0,0,0,0,0,0,0
"5a39170d65625048b4ff1a2465563092",0,0,0,0,0,0,0,0,0,0,0,0
"b74d9f40f90058164720cbb8531c7c90",0,0,0,0,0,0,0,0,0,0,0,0
"bc54df7b889fb90fadcb7f804d05d8a0",0,0,0,0,0,0,0,0,0,0,0,0
"9b9c893d7f6ce1adb95f07ce2c42960e",0,0,0,0,0,0,0,0,0,0,0,0
"38185326e140564bb33e80e4f24b8f90",0,0,0,0,0,0,0,0,0,0,0,0
"54c0b458c79be85647cd3cff8e66059b",0,0,0,0,0,0,0,0,0,0,0,0
"5e433b20d9dee2171f80dad0383d8357",0,0,0,0,0,0,14,0,0,0,0,0
"a05aec2d8945f8d5c15e1575515202b7",0,0,0,0,5,0,0,0,0,0,0,0
"f4801b7a68515d9005fa572ee6afdf41",0,0,0,0,0,0,0,0,0,0,0,0
"abd34643df4e48940286e05ff8518132",0,0,0,0,0,0,0,0,0,0,0,0
"4608fae4bbc9964cdd17af8782f2155e",0,0,0,0,0,0,0,0,0,0,0,0
"ca6c2b3b469c08212142e8821c65882a",0,0,0,0,0,0,0,0,0,0,0,0
